date,open,high,low,close,adjusted_close,volume,ret,log_ret,ret_lag1,ma_5,ma_21,mom_5,mom_21,rsi_14,vol_21,range,range_21,dow,month,is_month_end,is_quarter_end,dow_0,dow_1,dow_2,dow_3,dow_4,ret_x_vol21,y_next_ret,y_next_up
2021-12-17,751.1599731445312,758.0,743.9600219726562,749.8699951171875,725.75,1656700,-0.006794834228697644,-0.006818024222603469,-0.04698185426110146,738.6416137695312,767.9108072916666,-0.017453137664070972,-0.054903260758059846,38.51062902072591,0.030323281322420823,0.01872321618249257,0.028931987426848913,4,12,0,0,0,0,0,0,1,-0.00020604166985601296,0.0040141495597227905,1
2021-12-20,747.5999755859375,756.719970703125,744.4500122070312,752.8800048828125,728.6632690429688,647100,0.0040141495597227905,0.004006114357204105,-0.006794834228697644,736.3981811523438,762.0927385602679,-0.010503708872924067,-0.04386535630880506,42.65560926153597,0.029696833153013715,0.016297362682654318,0.029136051873564515,0,12,0,0,1,0,0,0,0,0.00011920752972633117,0.04005949196455583,1
2021-12-21,775.72998046875,784.4500122070312,765.02001953125,783.0399780273438,757.8531494140625,838100,0.04005949196455583,0.03927791532927838,0.0040141495597227905,741.9438720703125,758.676281156994,0.021442696600966427,-0.001084957792111596,46.26594592748433,0.031081026792378934,0.024813538543370203,0.029591004326880926,1,12,0,0,0,1,0,0,0,0.0012450901430394483,0.01159594693132604,1
2021-12-22,777.7999877929688,792.1199951171875,775.0,792.1199951171875,766.6411743164062,534800,0.01159594693132604,0.011529229213442349,0.04005949196455583,741.9245361328125,757.1263660249256,0.033314221298605506,0.012567001650511056,50.49797310539508,0.030307980416695298,0.021612880905316295,0.02860528190807889,2,12,0,0,0,0,1,0,0,0.0003514497325076676,0.011727976794829731,1
2021-12-23,794.6400146484375,805.719970703125,794.0800170898438,801.4099731445312,775.63232421875,496600,0.011727976794829731,0.011659737099146916,0.01159594693132604,750.9079833984375,756.8466128394717,0.03292592616796508,0.024821028542097334,55.606848672057176,0.030057920802129896,0.014524343349021474,0.027749481610999587,3,12,0,0,0,0,0,1,0,0.00035251859766820926,0.012502872215524707,1
2021-12-27,794.4000244140625,813.5900268554688,794.3599853515625,811.4299926757812,785.3299560546875,527500,0.012502872215524707,0.012425356750608074,0.011727976794829731,762.823974609375,757.2632417224702,0.029503505650615214,0.03706335232696212,60.526299919988595,0.030138694520437867,0.02369895330155721,0.027332621361214796,0,12,0,0,1,0,0,0,0,0.00037682024633176937,-0.008207605811090035,0
2021-12-28,817.2999877929688,817.2999877929688,803.0900268554688,804.77001953125,778.88427734375,548500,-0.008207605811090035,-0.008241473650892672,0.012502872215524707,772.8681762695312,758.3117297944568,0.007784123164777279,0.0271294069984509,49.716245708903685,0.029616382167556934,0.01765716986546889,0.026961073643577676,1,12,0,0,0,1,0,0,0,-0.00024307959038190357,-0.0034669828323893315,0
2021-12-29,798.1099853515625,805.239990234375,794.4000244140625,801.97998046875,776.1838989257812,404900,-0.0034669828323893315,-0.003473006744599161,-0.008207605811090035,776.534326171875,757.7112048921131,-0.00045127077359385925,0.02437959728508754,49.55742180216967,0.028140955212425284,0.013516504257346473,0.02610079183627453,2,12,0,0,0,0,1,0,0,-9.756420860851553e-05,-0.0021946218906869763,0
2021-12-30,803.6900024414062,808.2899780273438,799.9199829101562,800.219970703125,774.48046875,411900,-0.0021946218906869763,-0.0021970336024850212,-0.0034669828323893315,778.1021850585937,758.1126185825893,-0.004654551006460617,0.02159026214075288,57.2799577514626,0.027385103948194295,0.010459617884608755,0.024541321805930452,3,12,0,0,0,0,0,1,0,-6.0099948603445545e-05,-0.005098475162281124,0
2021-12-31,801.510009765625,805.280029296875,795.8800048828125,796.1400146484375,770.5317993164062,236400,-0.005098475162281124,-0.005111516733742327,-0.0021946218906869763,777.082080078125,757.7503720238095,-0.008429329320089662,0.016867596195908163,53.87575500777527,0.02719524803843775,0.011806999071907468,0.023312515659249487,4,12,1,1,0,0,0,0,1,-0.00013865429665604933,0.0016956062758819446,1
2022-01-03,795.739990234375,799.3599853515625,784.9600219726562,797.489990234375,771.8383178710938,720600,0.0016956062758819446,0.0016941703584985035,-0.005098475162281124,774.3837524414063,758.1241367885044,-0.0032870454245553793,0.018089624663164106,59.8005443103842,0.02687915800346043,0.018056607048665567,0.02307866846280047,0,1,0,0,1,0,0,0,0,4.55764690010899e-05,-0.02294690908814856,0
2022-01-04,793.6300048828125,793.6300048828125,763.2899780273438,779.1900024414062,754.1270141601562,874100,-0.02294690908814856,-0.023214287666679212,0.0016956062758819446,769.4322998046875,758.4776320684524,-0.019891659926957073,-0.005735987093556827,57.01834728124574,0.02689326723631337,0.038937905723129794,0.02302567538709366,1,1,0,0,0,1,0,0,0,-0.0006171173583549672,-0.04301913858288098,0
2022-01-05,765.9099731445312,766.5399780273438,745.0399780273438,745.6699829101562,721.6851196289062,1193200,-0.04301913858288098,-0.04397188624836268,-0.02294690908814856,758.5325439453125,757.9835728236607,-0.048577249071943274,-0.04788817923788824,36.49706286092274,0.028233791095692774,0.028833130597655392,0.023139568008630266,2,1,0,0,0,0,1,0,0,-0.0012145933718657185,0.023401887451963477,1
2022-01-06,739.530029296875,763.760009765625,729.8099975585938,763.1199951171875,738.5739135742188,2041200,0.023401887451963477,0.02313226168260396,-0.04301913858288098,751.3512329101562,756.0068882533482,-0.01700578740843739,-0.023059280212917033,52.66055068619846,0.024573076037365558,0.04448843225739061,0.02374088796649335,3,1,0,0,0,0,0,1,0,0.0005750563597749695,-0.009199065020108144,0
2022-01-07,758.3900146484375,763.3599853515625,743.5999755859375,756.0999755859375,731.7797241210938,1363300,-0.009199065020108144,-0.009241637705799555,0.023401887451963477,743.6008178710938,753.802990141369,-0.015897096218698947,-0.02921620941851799,52.01634943008447,0.02461908800336358,0.02613412300445062,0.02446352243970912,4,1,0,0,0,0,0,0,1,-0.00022647259127870595,-0.03826212965550879,0
2022-01-10,716.52001953125,727.6599731445312,702.2999877929688,727.1699829101562,703.7802734375,1973400,-0.03826212965550879,-0.039013349496340055,-0.009199065020108144,729.989208984375,751.7087867373511,-0.03590318216256805,-0.06375941607371083,42.874570787283524,0.02456898383968898,0.0348749067584873,0.025036390594219006,0,1,0,0,1,0,0,0,0,-0.00094006164517828,0.0027364254979040936,1
2022-01-11,706.989990234375,731.4400024414062,700.7100219726562,729.1599731445312,705.7061157226562,2120700,0.0027364254979040936,0.002732688301804842,-0.03826212965550879,720.305029296875,749.2808983212426,-0.020267682412920873,-0.058155469725993614,32.304198682140964,0.0243778938843163,0.0421443600863412,0.026362937916547344,1,1,0,0,0,1,0,0,0,6.670829041024339e-05,0.017842747227646782,1
2022-01-12,739.3099975585938,749.4500122070312,735.0,742.1699829101562,718.2978515625,959700,0.017842747227646782,0.017685433924794047,0.0027364254979040936,719.6275756835937,748.253156389509,-0.0018477948400331679,-0.04003364980316293,34.007810572418606,0.02436902996896076,0.019469949660818477,0.026199998497363763,2,1,0,0,0,0,1,0,0,0.00043481044191911593,-0.016289969097407764,0
2022-01-13,772.4099731445312,777.9199829101562,728.6400146484375,730.0800170898438,706.5968017578125,1628700,-0.016289969097407764,-0.016424109399838294,0.017842747227646782,713.2321533203125,747.1327805292038,-0.009303214292303519,-0.054255387834380886,27.564973781987035,0.024455112101489592,0.06749940706246498,0.028337384835144294,3,1,0,0,0,0,0,1,0,-0.0003983730204069081,0.019792203116521412,1
